Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_65_Plus,POI_Restaurants_Hotels,Education_University,Percentage_Age_0_14,Rent_Number_Flats,POI_Clothing,POI_Education,Intercept
03_031,,,,,,0.19414616932216516,,,,,,0.3267266714603299
03_032,,,,,,0.20336570205647292,,,,,,0.33995894941081556
03_033,,,,,,0.18344797690157139,,,,,0.11861655348870104,0.3120555728098751
03_034,,,,,,0.1866194406547893,,,,,0.11888188003086,0.31574964289427393
03_035,,,,,,0.1730832699998784,,,,,0.11632387185808743,0.29373059024539055
03_036,,,,,,,,,,,0.1093701040365274,0.25894967500912536
03_037,,,,,,0.17326009777352083,,,,,0.11685406315763452,0.294024194474441
03_038,,,,,,0.1880292502284105,,,,,,0.3142496265964392
03_039,,,,,,0.16728548779671243,,,,,0.11610181027757632,0.28286313113205735
03_040,,,,,,,,,,,0.11291981308055847,0.25326962287851773
03_041,,,,,,,,,,,0.11372564012530342,0.2408191861077745
03_042,,,0.27673707205041964,,,,,,,,0.11618573283788447,0.22317270403118686
03_043,,,,,,,,,,,0.11524555132485623,0.22686064988191038
03_044,,,0.2663991833736703,,,,,,,,0.11617710642497822,0.18945541058203105
03_045,,,0.33021458635015877,,,0.17844264787763653,,,,,0.11528151995856199,
03_046,,,0.29516837482121666,,,,,,,,0.11730398002382077,
03_047,-0.35897664077531455,,,,,,,,,,0.11661521827522127,
03_048,-0.4240362605680125,,,,,,,,,,,
03_049,-0.36118691775436557,,,,,,,,,,0.10808659595808237,
03_050,,,,,,,,,,,,
03_051,,,,,,,,,,,,0.17027286661991803
03_052,,,,,,,,,,,0.11102849092961495,0.16055545116917994
03_053,,,,,,,,,,,0.11714269097178268,
03_054,,,0.2579892957423307,,,,,,,,0.11616547426147054,0.16334129280161946
03_055,,,,,,,,,,,0.11333969286284534,0.19264283864567192
03_056,,,,,,,,,,,0.11306430702376943,0.21238445682484725
03_057,,,,,,,,,,,0.1055492586849627,0.19231799217830015
03_058,,,,,,,,,,,0.1079230116993725,0.22075547496470266
03_059,,,,,,,,,,,0.10553082675014538,0.22268614880172158
03_060,,,,,,,,,,,,0.20816556256163382
03_061,,,,,,,,,,,,0.22319595252742183
03_062,,,,,,,,,,,,0.21192442553391616
03_063,,,,,,,,,,,,0.22932424573610385
03_064,,,,,,,,,,,,0.24335632402036786
03_065,,,,,,,,,,,,0.23308235583189393
03_066,,,,,,,,,,,,0.21593272478344208
03_067,,,,,,,,,,,,0.21665677279632792
03_068,,,,,,,,,,,,0.20250773249202944
03_069,,,,,,,,,,,,0.190704236968255
03_070,,,,,,,,,,,,0.16792828252623299
03_071,,,,,,0.14766946072084774,,,,,,0.15792146256886638
03_072,,,,,,0.1519763616985589,,,,,,0.14788725857909918
03_073,,,,,,0.1498882731416799,,,,,,0.13053859758357467
03_074,,,,,,0.15879977936455483,,,,,,
03_075,,,,,,0.1649571381008523,,,,,,0.1286695867150738
03_076,,,,,,0.17525667772379752,,,,,,
03_077,,,,,,0.18122486128032494,,,,,,
03_078,,,,,,0.17138532136857418,,,,,,
03_079,,,,,,0.18720770548189514,,,,,,
