Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801907012;Total;1.600
Ambos Sexos;0801907013;Total;1.222
Ambos Sexos;0801907014;Total;920
Ambos Sexos;0801907015;Total;1.376
Ambos Sexos;0801907016;Total;1.332
Ambos Sexos;0801907017;Total;1.643
Ambos Sexos;0801907018;Total;1.672
Ambos Sexos;0801907019;Total;1.469
Ambos Sexos;0801907020;Total;1.566
Ambos Sexos;0801907021;Total;1.012
Ambos Sexos;0801907022;Total;1.157
Ambos Sexos;0801907023;Total;1.293
Ambos Sexos;0801907024;Total;1.469
Ambos Sexos;0801907025;Total;1.424
Ambos Sexos;0801907026;Total;1.073
Ambos Sexos;0801907027;Total;1.957
Ambos Sexos;0801907028;Total;1.496
Ambos Sexos;0801907029;Total;1.297
Ambos Sexos;0801907030;Total;1.382
Ambos Sexos;0801907031;Total;1.552
Ambos Sexos;0801907032;Total;1.392
Ambos Sexos;0801907033;Total;1.389
Ambos Sexos;0801907034;Total;1.715
Ambos Sexos;0801907035;Total;1.756
Ambos Sexos;0801907036;Total;1.386
Ambos Sexos;0801907037;Total;1.473
Ambos Sexos;0801907038;Total;1.321
Ambos Sexos;0801907039;Total;1.592
Ambos Sexos;0801907040;Total;1.489
Ambos Sexos;0801907041;Total;1.349
Ambos Sexos;0801907042;Total;1.562
Ambos Sexos;0801907043;Total;1.379
Ambos Sexos;0801907044;Total;1.295
Ambos Sexos;0801907045;Total;1.483
Ambos Sexos;0801907046;Total;1.420
Ambos Sexos;0801907047;Total;1.473
Ambos Sexos;0801907048;Total;1.238
Ambos Sexos;0801907049;Total;1.205
Ambos Sexos;0801907050;Total;1.150
Ambos Sexos;0801907051;Total;1.716
Ambos Sexos;0801907052;Total;1.214
Ambos Sexos;0801907053;Total;1.436
Ambos Sexos;0801907054;Total;1.560
Ambos Sexos;0801907055;Total;1.203
Ambos Sexos;0801907056;Total;1.168
Ambos Sexos;0801907057;Total;1.445
Ambos Sexos;0801907058;Total;1.357
Ambos Sexos;0801907059;Total;1.262
Ambos Sexos;0801907060;Total;1.806
Ambos Sexos;0801907061;Total;1.200
Ambos Sexos;0801907062;Total;1.283
Ambos Sexos;0801907063;Total;1.447
Ambos Sexos;0801907064;Total;1.651
Ambos Sexos;0801907065;Total;1.666
Ambos Sexos;0801907066;Total;1.747
Ambos Sexos;0801907067;Total;1.479
Ambos Sexos;0801907068;Total;1.269
Ambos Sexos;0801907069;Total;1.430
Ambos Sexos;0801907070;Total;1.418
Ambos Sexos;0801907071;Total;1.365
Ambos Sexos;0801907072;Total;1.342
Ambos Sexos;0801907073;Total;1.118
Ambos Sexos;0801907074;Total;1.676
Ambos Sexos;0801907075;Total;1.238
Ambos Sexos;0801907076;Total;1.328
