"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","4 anys",136
2017,10,"Sant Martí",65,"el Clot","Home","4 anys",113
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","4 anys",65
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","4 anys",54
2017,10,"Sant Martí",68,"el Poblenou","Home","4 anys",188
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","4 anys",108
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","4 anys",102
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","4 anys",98
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","4 anys",119
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","4 anys",130
2017,1,"Ciutat Vella",1,"el Raval","Home","5 anys",242
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","5 anys",55
